Facility_INSPIRE_ID;parentCompanyName;nameOfFeature;mainActivityCode;mainActivityName;pointGeometryLon;pointGeometryLat;streetName;buildingNumber;city;postalCode;countryCode;reportingYear;status;CompetentAuthorityEPRTRId;authorityName;authorityTelephoneNo;facilityId;x;y
FI.EEA/17228.FACILITY;CAVERION INDUSTRIA OY, Ylivieskan konepaja;CAVERION INDUSTRIA OY, Ylivieskan konepaja;2(c);Installations for the processing of ferrous metals. Note to reporters, use Level 3 activity e.g. 2(c)(i), in preference to 2(c). Level 2 activity class (i.e. 2(c)) only to be used where Level 3 is not available.;24.56733;64.06515;Wärtsiläntie 4;;YLIVIESKA;84101;FI;2017;functional;;;;FI_EEA_17228;381312;7106540
FI.EEA/17241.FACILITY;Altia Oyj, Rajamäen tehtaat;Altia Oyj, Rajamäen tehtaat;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;24.76038;60.53748;Valta-akseli;;RAJAMÄKI;05200;FI;2017;functional;;;;FI_EEA_17241;377127;6713363
FI.EEA/17247.FACILITY;Huber Packaging Oy;Huber Packaging Oy;9(c);Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating;25.03727;60.19769;Työnjohtajankatu 1;;HELSINKI;00810;FI;2017;functional;;;;FI_EEA_17247;391188;6675045
FI.EEA/17258.FACILITY;Metsä Wood, Lohjan kertopuutehdas;Metsä Wood, Lohjan kertopuutehdas;6(b);Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood);24.04777;60.25093;TEHTAANKATU 1;;LOHJA;08100;FI;2017;functional;;;;FI_EEA_17258;336617;6683013
FI.EEA/17264.FACILITY;ROAL OY, Rajamäen entsyymitehdas;ROAL OY, Rajamäen entsyymitehdas;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;24.75821;60.5383;VALTA- AKSELI, RAJAMÄKI;;RAJAMÄKI;05200;FI;2017;functional;;;;FI_EEA_17264;377011;6713458
FI.EEA/17271.FACILITY;TIKKURILA OY, TIKKURILAN TEHTAAT;TIKKURILA OY, TIKKURILAN TEHTAAT;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;25.05247;60.28792;KUNINKAALANTIE 1;;VANTAA;01301;FI;2017;functional;;;;FI_EEA_17271;392327;6685066
FI.EEA/239246.FACILITY;Ab Ekorosk Oy, Pirilön jätekeskus;Ab Ekorosk Oy, Pirilön jätekeskus;5(c);Installations for the disposal of non-hazardous waste;22.80582;63.65388;Launisaarentie 90;;PIETARSAARI;68600;FI;2017;functional;;;;FI_EEA_239246;292432;7065258
FI.EEA/239252.FACILITY;Jalasjäte Oy;Jalasjäte Oy;5(a);Installations for the recovery or disposal of hazardous waste;22.7401;62.49;N/A;;N/A;N/A;FI;2017;functional;;;;FI_EEA_239252;280586;6936008
FI.EEA/239260.FACILITY;Pohjanmaan Metallivälitys Oy, Kauhajoki;Pohjanmaan Metallivälitys Oy, Kauhajoki;5(c);Installations for the disposal of non-hazardous waste;22.1929;62.4612;Linjatie 5;;KAUHAJOKI;61850;FI;2017;functional;;;;FI_EEA_239260;252198;6934785
FI.EEA/239262.FACILITY;STENA RECYCLING OY, Vaasa;STENA RECYCLING OY, Vaasa;5(c);Installations for the disposal of non-hazardous waste;21.63297;63.09435;Sotilaslaituri;;VAASA;65101;FI;2017;functional;;;;FI_EEA_239262;229258;7007421
FI.EEA/239320.FACILITY;Biolan Oy, Euran tehdas;Biolan Oy, Euran tehdas;5(c);Installations for the disposal of non-hazardous waste;22.22027;61.14885;Lauttakyläntie  570;;KAUTTUA;27500;FI;2017;functional;;;;FI_EEA_239320;242854;6788770
FI.EEA/239322.FACILITY;JVP-Eura Oy, jätevedenpuhdistamo;JVP-Eura Oy, jätevedenpuhdistamo;5(g);Independently operated industrial waste-water treatment plants which serve one or more activities covered in annex 1 of Regulation 166/2006;22.1099;61.1393;Harjavallantie 130;;EURA;27150;FI;2017;functional;;;;FI_EEA_239322;236845;6788147
FI.EEA/239331.FACILITY;Eläinsuoja;Eläinsuoja;7(a);Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.;22.88441;60.87813;Isoniityntie 128/80;;NIINIJOKI;32410;FI;2017;functional;;;;FI_EEA_239331;276654;6756225
FI.EEA/293673.FACILITY;Battery Boys Ky, aik. V&K Metal Trading Ay;Battery Boys Ky, aik. V&K Metal Trading Ay;5(a);Installations for the recovery or disposal of hazardous waste;22.8583;62.7874;Naperokuja 3;;SEINÄJOKI;60100;FI;2017;functional;;;;FI_EEA_293673;288795;6968695
FI.EEA/293696.FACILITY;KUUSAKOSKI OY, Ekopark Lahti -kierrätyslaitos;KUUSAKOSKI OY, Ekopark Lahti -kierrätyslaitos;5(c);Installations for the disposal of non-hazardous waste;25.7112;60.9938;Norokatu 5;;LAHTI;N/A;FI;2017;functional;;;;FI_EEA_293696;430284;6762783
FI.EEA/293713.FACILITY;Finn Recycling Oy;Finn Recycling Oy;5(c);Installations for the disposal of non-hazardous waste;23.5275;61.0625;Metallitie 11;;URJALA;31700;FI;2017;functional;;;;FI_EEA_293713;312617;6774721
FI.EEA/293715.FACILITY;Stena Recycling Oy, Nokian jätteenkäsittelyalue;Stena Recycling Oy, Nokian jätteenkäsittelyalue;5(c);Installations for the disposal of non-hazardous waste;23.511;61.5096;Louhostie 20;;NOKIA;37130;FI;2017;functional;;;;FI_EEA_293715;314388;6824520
FI.EEA/293716.FACILITY;Tramel Oy, Nokian toimipiste;Tramel Oy, Nokian toimipiste;5(c);Installations for the disposal of non-hazardous waste;23.5306;61.4947;Rounionkatu 81;;NOKIA;37150;FI;2017;functional;;;;FI_EEA_293716;315341;6822807
FI.EEA/296201.FACILITY;Fortum Waste Solutions Oy, Ekojalostamo;Fortum Waste Solutions Oy, Ekojalostamo;5(c);Installations for the disposal of non-hazardous waste;24.8313;60.7726;Kuulojantie;;RIIHIMÄKI;11101;FI;2017;functional;;;;FI_EEA_296201;381881;6739410
FI.EEA/296216.FACILITY;Sikala;Sikala;7(a);Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.;22.79057;61.07374;Riuttanmaantie 101;;VAMPULA;32610;FI;2017;functional;;;;FI_EEA_296216;272966;6778305
FI.EEA/300180.FACILITY;Riihimäen Biotehdas Oy;Riihimäen Biotehdas Oy;5(c);Installations for the disposal of non-hazardous waste;24.8448;60.7732;Kuulojantie 11;;RIIHIMÄKI;11120;FI;2017;functional;;;;FI_EEA_300180;382619;6739453
FI.EEA/301403.FACILITY;EcoEnergy SF Oy;EcoEnergy SF Oy;5(c);Installations for the disposal of non-hazardous waste;25.7422;62.5831;Onkelantie 109 C;;ÄÄNEKOSKI;44100;FI;2017;functional;;;;FI_EEA_301403;435385;6939770
FI.EEA/301407.FACILITY;Pirkanmaan Uusiometalli Oy;Pirkanmaan Uusiometalli Oy;5(c);Installations for the disposal of non-hazardous waste;23.821;62.1942;Yrittäjäntie 6;;VIRRAT;34800;FI;2017;functional;;;;FI_EEA_301407;334601;6899875
FI.EEA/301413.FACILITY;Gasum Biotehdas Oy(ent. Biotehdas Oy (ent.VamBio Oy), Huittisten Biokaasulaitos;Gasum Biotehdas Oy(ent. Biotehdas Oy (ent.VamBio Oy), Huittisten Biokaasulaitos;5(c);Installations for the disposal of non-hazardous waste;22.6492;61.0623;Vähäjoentie 182;;VAMPULA;32610;FI;2017;functional;;;;FI_EEA_301413;265264;6777532
FI.EEA/6096.FACILITY;GENENCOR INTERNATIONAL OY, HANGON TEHDAS;GENENCOR INTERNATIONAL OY, HANGON TEHDAS;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;23.02369;59.85375;ORIONINKATU 34;;HANKO;10900;FI;2017;functional;;;;FI_EEA_6096;277321;6641810
FI.EEA/67059.FACILITY;Konepeikko Oy;Konepeikko Oy;5(c);Installations for the disposal of non-hazardous waste;28.80089;61.14306;Pilarikuusenkatu 7;;IMATRA;55610;FI;2017;functional;;;;FI_EEA_67059;596956;6780057
FI.EEA/67510.FACILITY;Transtech Oy, Otanmäen tehdas;Transtech Oy, Otanmäen tehdas;9(c);Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating;27.08601;64.11819;Kokkolantie 1791;;OTANMÄKI;88200;FI;2017;functional;;;;FI_EEA_67510;504189;7110187
FI.EEA/6929.FACILITY;MONDO MINERALS B.V. Branch Finland, Vuonoksen tehdas;MONDO MINERALS B.V. Branch Finland, Vuonoksen tehdas;5(d);Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on ;29.08747;62.76096;Talkkitie 7;;OUTOKUMPU;83500;FI;2017;functional;;;;FI_EEA_6929;606586;6960683
FI.EEA/7094.FACILITY;Arwina Oy;Arwina Oy;5(a);Installations for the recovery or disposal of hazardous waste;22.96837;60.62678;Härkätie 1416;;OLLILA;21560;FI;2017;functional;;;;FI_EEA_7094;279487;6727983
FI.EEA/7607.FACILITY;surfactor Finland Oy;surfactor Finland Oy;9(c);Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating;29.9193;62.1003;Teollisuustie 20;;PUHOS;82430;FI;2017;functional;;;;FI_EEA_7607;652365;6888785
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000000135.ProductionFacility;Helsingin seudun ympäristöpalvelut -kuntayhtymä, HSY;Helsingin seudun ympäristöpalvelut -kuntayhtymä, HSY, Suomenojan jätevedenpuhdistamo;5(f);Urban waste-water treatment plants;24.71227;60.15134;Hyljeluodontie;5;Espoo;02270;FI;2019;functional;8959.0;Centre for Economic Development, Transport and the Environment for Uusimaa;0295021000;0000000135;372996;6670465
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000000200.ProductionFacility;Helsingin seudun ympäristöpalvelut -kuntayhtymä;Helsingin seudun ympäristöpalvelut -kuntayhtymä, Viikinmäen jätevedenpuhdistamo;5(f);Urban waste-water treatment plants;24.99282;60.2253;Hernepellontie;24;Helsingin kaupunki;00100;FI;2019;functional;8960.0;Centre for Economic Development, Transport and the Environment for Uusimaa;0295021000;0000000200;388818;6678193
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000000225.ProductionFacility;HÄMEENLINNAN SEUDUN VESI OY;HÄMEENLINNAN SEUDUN VESI OY, PAROISTEN JÄTEVEDENPUHDISTAMO;5(f);Urban waste-water treatment plants;24.43118;61.02243;Paroistentie;7;Hämeenlinna;13601;FI;2019;functional;8961.0;Centre for Economic Development, Transport and the Environment for Häme;0295025000;0000000225;361186;6768009
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000000284.ProductionFacility;Jyväskylän Seudun Puhdistamo Oy:n Nenäinniemen jätevedenpuhdistamo;Jyväskylän Seudun Puhdistamo Oy:n Nenäinniemen jätevedenpuhdistamo, Jätevedenpuhdistamo;5(f);Urban waste-water treatment plants;25.78162;62.21374;Raivionsuntti;10;Jyväskylä;40520;FI;2019;functional;8962.0;Centre for Economic Development, Transport and the Environment for Central Finland;0295024500;0000000284;436635;6898587
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000000373.ProductionFacility;Prysmian Finland Oy;Prysmian Finland Oy, Pikkalan tehdas;2(e)(ii);Installation for the smelting, including the alloying, of non-ferrous metals, including recovered products (refining, foundry casting, etc.);24.34943;60.09099;Kaapelitie;68;Pikkala;02490;FI;2019;functional;8963.0;Centre for Economic Development, Transport and the Environment for Uusimaa;0295021000;0000000373;352590;6664501
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000000422.ProductionFacility;Kymen Vesi Oy;Kymen Vesi Oy, Mussalon jätevesilaitos;5(f);Urban waste-water treatment plants;26.90992;60.43709;Jänskäntie;2;Kotka;48310;FI;2019;functional;8964.0;Centre for Economic Development, Transport and the Environment for Southeast Finland;0295029000;0000000422;495042;6700094
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000000425.ProductionFacility;Kouvolan Vesi Oy;Kouvolan Vesi Oy, Mäkikylän jätevesilaitos;5(f);Urban waste-water treatment plants;26.71959;60.83615;Kymenlaaksontie;419;Kouvola;45100;FI;2019;functional;8965.0;Centre for Economic Development, Transport and the Environment for Southeast Finland;0295029000;0000000425;484756;6744570
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000000437.ProductionFacility;KUOPION VESI;KUOPION VESI, Jätevedenpuhdistamo, Lehtoniemi;5(f);Urban waste-water treatment plants;27.70347;62.86696;Lehtoniementie;480;Kuopio;70780;FI;2019;functional;8966.0;Centre for Economic Development, Transport and the Environment for North Savo;0295026500;0000000437;535794;6970962
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000000469.ProductionFacility;Lahti Aqua Oy;Lahti Aqua Oy, Ali-Juhakkalan jätevedenpuhdistamo;5(f);Urban waste-water treatment plants;25.62621;60.95583;Porvoonjoentie;9;Lahti;15700;FI;2019;functional;8967.0;Centre for Economic Development, Transport and the Environment for Häme;0295025000;0000000469;425598;6758647
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000000470.ProductionFacility;Lahti Aqua Oy;Lahti Aqua Oy, Kariniemen jätevedenpuhdistamo;5(f);Urban waste-water treatment plants;25.62369;60.95685;Satamakatu;2;Lahti;15140;FI;2019;functional;8968.0;Centre for Economic Development, Transport and the Environment for Häme;0295025000;0000000470;425464;6758764
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000000487.ProductionFacility;Lappeenrannan Lämpövoima Oy;Lappeenrannan Lämpövoima Oy, Toikansuon jätevedenpuhdistamo;5(f);Urban waste-water treatment plants;28.18686;61.04258;Toikansuontie;21;Lappeenranta;53100;FI;2019;functional;8969.0;Centre for Economic Development, Transport and the Environment for Southeast Finland;0295029000;0000000487;564104;6768111
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000000666.ProductionFacility;OULUN VESI;OULUN VESI, TASKILAN JÄTEVEDENPUHDISTAMO;5(f);Urban waste-water treatment plants;25.41399;65.05068;Suolamännyntie;39;Oulu;90520;FI;2019;functional;8970.0;Centre for Economic Development, Transport and the Environment for North Ostrobothnia;0295038000;0000000666;425357;7215040
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000000725.ProductionFacility;Porin vesi, Liikelaitos;Porin vesi, Liikelaitos, Luotsinmäki, jätevedenpuhdistamo (jvp);5(f);Urban waste-water treatment plants;21.76668;61.51713;Jokisatamantie;9;Pori;28100;FI;2019;functional;8971.0;Centre for Economic Development, Transport and the Environment for Southwest Finland;0295022500;0000000725;221776;6831570
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000000800.ProductionFacility;Napapiirin Vesi Oy;Napapiirin Vesi Oy, Rovaniemen kaupungin jätevedenpuhdistamo;5(f);Urban waste-water treatment plants;25.64477;66.48675;Jätevedenpuhdistamontie;6;Rovaniemi;96320;FI;2019;functional;8972.0;Centre for Economic Development, Transport and the Environment for Lapland;0295037000;0000000800;439669;7374821
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000000843.ProductionFacility;Seinäjoen Energia Oy;Seinäjoen Energia Oy, Seinäjoen Vesi/Keskuspuhdistamo;5(f);Urban waste-water treatment plants;22.81684;62.7986;Puhdistamonkatu;12;Seinäjoki;60100;FI;2019;functional;8973.0;Centre for Economic Development, Transport and the Environment for South Ostrobothnia;0295027500;0000000843;286764;6970078
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000000928.ProductionFacility;TAMPEREEN VESI LIIKELAITOS;TAMPEREEN VESI LIIKELAITOS, VIINIKANLAHDEN JÄTEVEDENPUHDISTAMO;5(f);Urban waste-water treatment plants;23.76868;61.48843;Hatanpäänkatu;2;Tampere;33100;FI;2019;functional;8975.0;Centre for Economic Development, Transport and the Environment for Pirkanmaa;0295036000;0000000928;327971;6821457
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001084.ProductionFacility;Aurajoki Oy;Aurajoki Oy, Auran tehdas;2(c)(iii);Installations for the processing of ferrous metals, Application of protective fused metal coats;22.62586;60.65592;Takalistontie;79;Aura;21380;FI;2019;functional;8976.0;Centre for Economic Development, Transport and the Environment for Southwest Finland;0295022500;0000001084;260987;6732422
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001111.ProductionFacility;Stora Enso Oyj;Stora Enso Oyj, Enocellin tehdas;6(a);Industrial plants for the production of pulp from timber or similar fibrous materials;30.22521;62.92722;Tehtaantie;2;Uimaharju;81280;FI;2019;functional;8977.0;Centre for Economic Development, Transport and the Environment for North Karelia;0295026000;0000001111;663721;6981585
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001115.ProductionFacility;Fortum Power and Heat Oy;Fortum Power and Heat Oy, Suomenojan voimalaitos;1(c);Thermal power stations and other combustion installations;24.7174;60.14913;HYLKEENPYYTÄJÄNTIE;4;Espoo;02270;FI;2019;functional;8978.0;Centre for Economic Development, Transport and the Environment for Uusimaa;0295021000;0000001115;373272;6670210
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001118.ProductionFacility;HKScan Finland Oy;HKScan Finland Oy, Euran tuotantolaitos;8(a);Slaughterhouses;22.17982;61.14047;Kariniementie;2;Eura;27510;FI;2019;functional;8979.0;Centre for Economic Development, Transport and the Environment for Southwest Finland;0295022500;0000001118;240612;6787998
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001119.ProductionFacility;Adven Oy;Adven Oy, Kauttuan voimalaitos;1(c);Thermal power stations and other combustion installations;22.16408;61.10765;Tehtaantie;95;Kauttua;27500;FI;2019;functional;8980.0;Centre for Economic Development, Transport and the Environment for Southwest Finland;0295022500;0000001119;239496;6784412
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001120.ProductionFacility;Jujo Thermal Oy;Jujo Thermal Oy, Euran paperitehdas;6(b);Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood);22.15858;61.11078;Paperitehtaantie;15;Kauttua;27500;FI;2019;functional;8981.0;Centre for Economic Development, Transport and the Environment for Southwest Finland;0295022500;0000001120;239226;6784782
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001130.ProductionFacility;VALIO OY;VALIO OY, Meijeri, Haapavesi;8(c);Treatment and processing of milk;25.39299;64.13915;TEOLLISUUSTIE;4;Haapavesi;86600;FI;2019;functional;8982.0;Centre for Economic Development, Transport and the Environment for North Ostrobothnia;0295038000;0000001130;421795;7113507
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001131.ProductionFacility;KANTELEEN VOIMA OY;KANTELEEN VOIMA OY, Haapaveden voimalaitos;1(c);Thermal power stations and other combustion installations;25.4097;64.12151;Turvetie;112;Haapavesi;86600;FI;2019;functional;8983.0;Centre for Economic Development, Transport and the Environment for North Ostrobothnia;0295038000;0000001131;422559;7111522
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001135.ProductionFacility;Prefere Resins Finland Oy;Prefere Resins Finland Oy, Haminan tehdas;4(a)(ii);Chemical installations for the production on an industrial scale of basic organic chemicals: Oxygen-containing hydrocarbons such as alcohols, aldehydes, ketones, carboxylic acids, esters, acetates, ethers, peroxides, epoxy resins;27.16077;60.52412;Syväsatamantie;16;Hamina;49401;FI;2019;functional;8984.0;Centre for Economic Development, Transport and the Environment for Southeast Finland;0295029000;0000001135;508825;6709794
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001136.ProductionFacility;Evonik Silica Finland Oy;Evonik Silica Finland Oy, Haminan tehdas;4(b)(v);Chemical installations for the production on an industrial scale of basic inorganic chemicals: Non-metals, metal oxides or other inorganic compounds such as calcium carbide, silicon, silicon carbide;27.17226;60.55363;Telakkatie;5;Hamina;49460;FI;2019;functional;8985.0;Centre for Economic Development, Transport and the Environment for Southeast Finland;0295029000;0000001136;509447;6713083
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001137.ProductionFacility;Trinseo Suomi Oy;Trinseo Suomi Oy, Kemianteollisuus;4(a)(viii);Chemical installations for the production on an industrial scale of basic organic chemicals: Basic plastic materials (polymers, synthetic fibres and cellulose-based fibres);27.15883;60.53109;Palokankaantie;1;Hamina;49461;FI;2019;functional;8986.0;Centre for Economic Development, Transport and the Environment for Southeast Finland;0295029000;0000001137;508717;6710570
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001146.ProductionFacility;Oy Forcit Ab;Oy Forcit Ab, Hangon räjähdysainetehdas;4(f);Installations for the production on an industrial scale of explosives and pyrotechnic products;23.05375;59.86592;Forcitintie;37;Hanko;10900;FI;2019;functional;8987.0;Centre for Economic Development, Transport and the Environment for Uusimaa;0295021000;0000001146;279084;6643063
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001147.ProductionFacility;Oy ViskoTeepak Ab;Oy ViskoTeepak Ab, Viskon kuitusuolitehdas;4(a)(viii);Chemical installations for the production on an industrial scale of basic organic chemicals: Basic plastic materials (polymers, synthetic fibres and cellulose-based fibres);23.16836;59.88501;Viskontie;38;Lappohja;10820;FI;2019;functional;8988.0;Centre for Economic Development, Transport and the Environment for Uusimaa;0295021000;0000001147;285618;6644809
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001152.ProductionFacility;Boliden Harjavalta Oy;Boliden Harjavalta Oy, Harjavallan tehtaat;2(e)(i);Installation for the production of non-ferrous crude metals from ore, concentrates or secondary raw materials by metallurgical, chemical or electrolytic processes;22.12348;61.31992;Teollisuuskatu;1;Harjavalta;29200;FI;2019;functional;8989.0;Centre for Economic Development, Transport and the Environment for Southwest Finland;0295022500;0000001152;239076;6808172
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001161.ProductionFacility;SUOMEN KUITULEVY OY;SUOMEN KUITULEVY OY, Heinolan tehdas;6(b);Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood);26.06471;61.18527;Vuorikatu;22;Heinola;18100;FI;2019;functional;8990.0;Centre for Economic Development, Transport and the Environment for Häme;0295025000;0000001161;449710;6783784
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001162.ProductionFacility;Stora Enso Oyj;Stora Enso Oyj, Heinolan Flutingtehdas;6(a);Industrial plants for the production of pulp from timber or similar fibrous materials;26.08156;61.17867;Tampellantie;1;Heinola;18100;FI;2019;functional;8991.0;Centre for Economic Development, Transport and the Environment for Häme;0295025000;0000001162;450606;6783036
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001170.ProductionFacility;Helen Oy;Helen Oy, Salmisaaren voimalaitokset;1(c);Thermal power stations and other combustion installations;24.90581;60.1604;Porkkalankatu -;911;Helsinki;00180;FI;2019;functional;8992.0;Centre for Economic Development, Transport and the Environment for Uusimaa;0295021000;0000001170;383770;6671118
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001172.ProductionFacility;Helen Oy;Helen Oy, Hanasaari B -voimalaitos;1(c);Thermal power stations and other combustion installations;24.97122;60.18363;Parrukatu -;13;Helsinki;00580;FI;2019;functional;8993.0;Centre for Economic Development, Transport and the Environment for Uusimaa;0295021000;0000001172;387479;6673591
