Facility_INSPIRE_ID;reportingYear;nameOfFeature;mainActivityCode;mainActivityName;city;wasteClassificationCode;wasteClassificationName;wasteTreatmentCode;wasteTreatmentName;totalWasteQuantityTNE;methodCode;methodName;nameOfReceiver;ReceivingSite_city;ReceivingSite_postalCode;ReceivingSite_countryName;facilityId
FI.EEA/67510.FACILITY;2017;Transtech Oy, Otanmäen tehdas;9(c);Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating;OTANMÄKI;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;18.9;M;Measured: analytical method used;;;;;FI_EEA_67510
FI.EEA/67510.FACILITY;2017;Transtech Oy, Otanmäen tehdas;9(c);Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating;OTANMÄKI;NONHW;Non-hazardous waste;R;Destined for recovery;2240.0;M;Measured: analytical method used;;;;;FI_EEA_67510
FI.EEA/67510.FACILITY;2017;Transtech Oy, Otanmäen tehdas;9(c);Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating;OTANMÄKI;NONHW;Non-hazardous waste;D;Destined for disposal;480.0;M;Measured: analytical method used;;;;;FI_EEA_67510
FI.EEA/7094.FACILITY;2017;Arwina Oy;5(a);Installations for the recovery or disposal of hazardous waste;OLLILA;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;270.0;M;Measured: analytical method used;;;;;FI_EEA_7094
FI.EEA/239260.FACILITY;2017;Pohjanmaan Metallivälitys Oy, Kauhajoki;5(c);Installations for the disposal of non-hazardous waste;KAUHAJOKI;NONHW;Non-hazardous waste;D;Destined for disposal;14.1;M;Measured: analytical method used;;;;;FI_EEA_239260
FI.EEA/239260.FACILITY;2017;Pohjanmaan Metallivälitys Oy, Kauhajoki;5(c);Installations for the disposal of non-hazardous waste;KAUHAJOKI;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;14.4;M;Measured: analytical method used;;;;;FI_EEA_239260
FI.EEA/239260.FACILITY;2017;Pohjanmaan Metallivälitys Oy, Kauhajoki;5(c);Installations for the disposal of non-hazardous waste;KAUHAJOKI;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;1.78;M;Measured: analytical method used;;;;;FI_EEA_239260
FI.EEA/239260.FACILITY;2017;Pohjanmaan Metallivälitys Oy, Kauhajoki;5(c);Installations for the disposal of non-hazardous waste;KAUHAJOKI;NONHW;Non-hazardous waste;R;Destined for recovery;10600.0;M;Measured: analytical method used;;;;;FI_EEA_239260
FI.EEA/301407.FACILITY;2017;Pirkanmaan Uusiometalli Oy;5(c);Installations for the disposal of non-hazardous waste;VIRRAT;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;4.0;M;Measured: analytical method used;;;;;FI_EEA_301407
FI.EEA/301407.FACILITY;2017;Pirkanmaan Uusiometalli Oy;5(c);Installations for the disposal of non-hazardous waste;VIRRAT;NONHW;Non-hazardous waste;R;Destined for recovery;13600.0;M;Measured: analytical method used;;;;;FI_EEA_301407
FI.EEA/301407.FACILITY;2017;Pirkanmaan Uusiometalli Oy;5(c);Installations for the disposal of non-hazardous waste;VIRRAT;NONHW;Non-hazardous waste;D;Destined for disposal;1.7;M;Measured: analytical method used;;;;;FI_EEA_301407
FI.EEA/16986.FACILITY;2017;RAPALA VMC OYJ, Uistintehdas;9(c);Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating;Vääksy;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;0.08;M;Measured: analytical method used;;;;;FI_EEA_16986
FI.EEA/16986.FACILITY;2017;RAPALA VMC OYJ, Uistintehdas;9(c);Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating;Vääksy;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;32.9;M;Measured: analytical method used;;;;;FI_EEA_16986
FI.EEA/17014.FACILITY;2017;GENENCOR INTERNATIONAL OY, Jämsänkosken tehdas;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;JÄMSÄNKOSKI;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;96.5;M;Measured: analytical method used;;;;;FI_EEA_17014
FI.EEA/17014.FACILITY;2017;GENENCOR INTERNATIONAL OY, Jämsänkosken tehdas;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;JÄMSÄNKOSKI;NONHW;Non-hazardous waste;R;Destined for recovery;8830.0;M;Measured: analytical method used;;;;;FI_EEA_17014
FI.EEA/17014.FACILITY;2017;GENENCOR INTERNATIONAL OY, Jämsänkosken tehdas;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;JÄMSÄNKOSKI;NONHW;Non-hazardous waste;D;Destined for disposal;5.42;M;Measured: analytical method used;;;;;FI_EEA_17014
FI.EEA/17241.FACILITY;2017;Altia Oyj, Rajamäen tehtaat;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;RAJAMÄKI;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;8.76;M;Measured: analytical method used;;;;;FI_EEA_17241
FI.EEA/17241.FACILITY;2017;Altia Oyj, Rajamäen tehtaat;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;RAJAMÄKI;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;1.13;M;Measured: analytical method used;;;;;FI_EEA_17241
FI.EEA/293696.FACILITY;2017;KUUSAKOSKI OY, Ekopark Lahti -kierrätyslaitos;5(c);Installations for the disposal of non-hazardous waste;LAHTI;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;14.5;M;Measured: analytical method used;;;;;FI_EEA_293696
FI.EEA/293696.FACILITY;2017;KUUSAKOSKI OY, Ekopark Lahti -kierrätyslaitos;5(c);Installations for the disposal of non-hazardous waste;LAHTI;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;15.2;M;Measured: analytical method used;;;;;FI_EEA_293696
FI.EEA/293696.FACILITY;2017;KUUSAKOSKI OY, Ekopark Lahti -kierrätyslaitos;5(c);Installations for the disposal of non-hazardous waste;LAHTI;NONHW;Non-hazardous waste;R;Destined for recovery;70100.0;M;Measured: analytical method used;;;;;FI_EEA_293696
FI.EEA/293696.FACILITY;2017;KUUSAKOSKI OY, Ekopark Lahti -kierrätyslaitos;5(c);Installations for the disposal of non-hazardous waste;LAHTI;NONHW;Non-hazardous waste;D;Destined for disposal;13300.0;M;Measured: analytical method used;;;;;FI_EEA_293696
FI.EEA/17189.FACILITY;2017;Rautasoini OY, Briketöintilaitos;5(c);Installations for the disposal of non-hazardous waste;TAMPERE;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;172.0;M;Measured: analytical method used;;;;;FI_EEA_17189
FI.EEA/17189.FACILITY;2017;Rautasoini OY, Briketöintilaitos;5(c);Installations for the disposal of non-hazardous waste;TAMPERE;NONHW;Non-hazardous waste;R;Destined for recovery;13100.0;M;Measured: analytical method used;;;;;FI_EEA_17189
FI.EEA/17271.FACILITY;2017;TIKKURILA OY, TIKKURILAN TEHTAAT;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;VANTAA;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;583.0;M;Measured: analytical method used;;;;;FI_EEA_17271
FI.EEA/17271.FACILITY;2017;TIKKURILA OY, TIKKURILAN TEHTAAT;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;VANTAA;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;1250.0;M;Measured: analytical method used;;;;;FI_EEA_17271
FI.EEA/293713.FACILITY;2017;Finn Recycling Oy;5(c);Installations for the disposal of non-hazardous waste;URJALA;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;21.7;M;Measured: analytical method used;;;;;FI_EEA_293713
FI.EEA/293713.FACILITY;2017;Finn Recycling Oy;5(c);Installations for the disposal of non-hazardous waste;URJALA;NONHW;Non-hazardous waste;R;Destined for recovery;9770.0;M;Measured: analytical method used;;;;;FI_EEA_293713
FI.EEA/17188.FACILITY;2017;Rautasoini Oy, Nekalan toimipiste;5(c);Installations for the disposal of non-hazardous waste;TAMPERE;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;27.2;M;Measured: analytical method used;;;;;FI_EEA_17188
FI.EEA/17188.FACILITY;2017;Rautasoini Oy, Nekalan toimipiste;5(c);Installations for the disposal of non-hazardous waste;TAMPERE;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;0.8;M;Measured: analytical method used;;;;;FI_EEA_17188
FI.EEA/17188.FACILITY;2017;Rautasoini Oy, Nekalan toimipiste;5(c);Installations for the disposal of non-hazardous waste;TAMPERE;NONHW;Non-hazardous waste;R;Destined for recovery;28200.0;M;Measured: analytical method used;;;;;FI_EEA_17188
FI.EEA/6096.FACILITY;2017;GENENCOR INTERNATIONAL OY, HANGON TEHDAS;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;HANKO;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;3.5;M;Measured: analytical method used;;;;;FI_EEA_6096
FI.EEA/6096.FACILITY;2017;GENENCOR INTERNATIONAL OY, HANGON TEHDAS;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;HANKO;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;4.29;M;Measured: analytical method used;;;;;FI_EEA_6096
FI.EEA/6096.FACILITY;2017;GENENCOR INTERNATIONAL OY, HANGON TEHDAS;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;HANKO;NONHW;Non-hazardous waste;R;Destined for recovery;21000.0;M;Measured: analytical method used;;;;;FI_EEA_6096
FI.EEA/6096.FACILITY;2017;GENENCOR INTERNATIONAL OY, HANGON TEHDAS;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;HANKO;NONHW;Non-hazardous waste;D;Destined for disposal;17.6;M;Measured: analytical method used;;;;;FI_EEA_6096
FI.EEA/301413.FACILITY;2017;Gasum Biotehdas Oy(ent. Biotehdas Oy (ent.VamBio Oy), Huittisten Biokaasulaitos;5(c);Installations for the disposal of non-hazardous waste;VAMPULA;NONHW;Non-hazardous waste;R;Destined for recovery;110.0;M;Measured: analytical method used;;;;;FI_EEA_301413
FI.EEA/301413.FACILITY;2017;Gasum Biotehdas Oy(ent. Biotehdas Oy (ent.VamBio Oy), Huittisten Biokaasulaitos;5(c);Installations for the disposal of non-hazardous waste;VAMPULA;NONHW;Non-hazardous waste;D;Destined for disposal;2220.0;M;Measured: analytical method used;;;;;FI_EEA_301413
FI.EEA/239320.FACILITY;2017;Biolan Oy, Euran tehdas;5(c);Installations for the disposal of non-hazardous waste;KAUTTUA;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;76.9;M;Measured: analytical method used;;;;;FI_EEA_239320
FI.EEA/293673.FACILITY;2017;Battery Boys Ky, aik. V&K Metal Trading Ay;5(a);Installations for the recovery or disposal of hazardous waste;SEINÄJOKI;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;133.0;M;Measured: analytical method used;;;;;FI_EEA_293673
FI.EEA/293673.FACILITY;2017;Battery Boys Ky, aik. V&K Metal Trading Ay;5(a);Installations for the recovery or disposal of hazardous waste;SEINÄJOKI;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;123.0;M;Measured: analytical method used;Boliden Bergsöe;Landskrona;26122;Sweden;FI_EEA_293673
FI.EEA/17142.FACILITY;2017;Kuusakoski Oy (aik.Jylhän Metalliromu Oy), Lapuan palvelupiste;5(a);Installations for the recovery or disposal of hazardous waste;LAPUA;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;8030.0;M;Measured: analytical method used;;;;;FI_EEA_17142
FI.EEA/17142.FACILITY;2017;Kuusakoski Oy (aik.Jylhän Metalliromu Oy), Lapuan palvelupiste;5(a);Installations for the recovery or disposal of hazardous waste;LAPUA;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;62.8;M;Measured: analytical method used;;;;;FI_EEA_17142
FI.EEA/17142.FACILITY;2017;Kuusakoski Oy (aik.Jylhän Metalliromu Oy), Lapuan palvelupiste;5(a);Installations for the recovery or disposal of hazardous waste;LAPUA;NONHW;Non-hazardous waste;R;Destined for recovery;52700.0;M;Measured: analytical method used;;;;;FI_EEA_17142
FI.EEA/17142.FACILITY;2017;Kuusakoski Oy (aik.Jylhän Metalliromu Oy), Lapuan palvelupiste;5(a);Installations for the recovery or disposal of hazardous waste;LAPUA;NONHW;Non-hazardous waste;D;Destined for disposal;22.7;M;Measured: analytical method used;;;;;FI_EEA_17142
FI.EEA/17142.FACILITY;2017;Kuusakoski Oy (aik.Jylhän Metalliromu Oy), Lapuan palvelupiste;5(a);Installations for the recovery or disposal of hazardous waste;LAPUA;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;517.0;M;Measured: analytical method used;Revac Sverige AB;Hova;54831;Sweden;FI_EEA_17142
FI.EEA/7607.FACILITY;2017;surfactor Finland Oy;9(c);Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating;PUHOS;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;140.0;M;Measured: analytical method used;;;;;FI_EEA_7607
FI.EEA/17228.FACILITY;2017;CAVERION INDUSTRIA OY, Ylivieskan konepaja;2(c);Installations for the processing of ferrous metals. Note to reporters, use Level 3 activity e.g. 2(c)(i), in preference to 2(c). Level 2 activity class (i.e. 2(c)) only to be used where Level 3 is not available.;YLIVIESKA;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;1100.0;M;Measured: analytical method used;;;;;FI_EEA_17228
FI.EEA/17228.FACILITY;2017;CAVERION INDUSTRIA OY, Ylivieskan konepaja;2(c);Installations for the processing of ferrous metals. Note to reporters, use Level 3 activity e.g. 2(c)(i), in preference to 2(c). Level 2 activity class (i.e. 2(c)) only to be used where Level 3 is not available.;YLIVIESKA;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;0.278;M;Measured: analytical method used;;;;;FI_EEA_17228
FI.EEA/17264.FACILITY;2017;ROAL OY, Rajamäen entsyymitehdas;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;RAJAMÄKI;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;1.39;M;Measured: analytical method used;;;;;FI_EEA_17264
FI.EEA/17264.FACILITY;2017;ROAL OY, Rajamäen entsyymitehdas;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;RAJAMÄKI;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;14.8;M;Measured: analytical method used;;;;;FI_EEA_17264
FI.EEA/17264.FACILITY;2017;ROAL OY, Rajamäen entsyymitehdas;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;RAJAMÄKI;NONHW;Non-hazardous waste;R;Destined for recovery;22000.0;M;Measured: analytical method used;;;;;FI_EEA_17264
FI.EEA/17264.FACILITY;2017;ROAL OY, Rajamäen entsyymitehdas;4(a);Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.;RAJAMÄKI;NONHW;Non-hazardous waste;D;Destined for disposal;793.0;M;Measured: analytical method used;;;;;FI_EEA_17264
FI.EEA/296201.FACILITY;2017;Fortum Waste Solutions Oy, Ekojalostamo;5(c);Installations for the disposal of non-hazardous waste;RIIHIMÄKI;NONHW;Non-hazardous waste;R;Destined for recovery;30200.0;M;Measured: analytical method used;;;;;FI_EEA_296201
FI.EEA/296201.FACILITY;2017;Fortum Waste Solutions Oy, Ekojalostamo;5(c);Installations for the disposal of non-hazardous waste;RIIHIMÄKI;NONHW;Non-hazardous waste;D;Destined for disposal;13900.0;M;Measured: analytical method used;;;;;FI_EEA_296201
FI.EEA/67059.FACILITY;2017;Konepeikko Oy;5(c);Installations for the disposal of non-hazardous waste;IMATRA;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;148.0;M;Measured: analytical method used;;;;;FI_EEA_67059
FI.EEA/17177.FACILITY;2017;Kuusakoski Oy, Tampereen toimipiste;5(c);Installations for the disposal of non-hazardous waste;TAMPERE;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;1780.0;M;Measured: analytical method used;;;;;FI_EEA_17177
FI.EEA/17177.FACILITY;2017;Kuusakoski Oy, Tampereen toimipiste;5(c);Installations for the disposal of non-hazardous waste;TAMPERE;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;115.0;M;Measured: analytical method used;;;;;FI_EEA_17177
FI.EEA/17177.FACILITY;2017;Kuusakoski Oy, Tampereen toimipiste;5(c);Installations for the disposal of non-hazardous waste;TAMPERE;NONHW;Non-hazardous waste;R;Destined for recovery;27600.0;M;Measured: analytical method used;;;;;FI_EEA_17177
FI.EEA/17177.FACILITY;2017;Kuusakoski Oy, Tampereen toimipiste;5(c);Installations for the disposal of non-hazardous waste;TAMPERE;NONHW;Non-hazardous waste;D;Destined for disposal;1.24;M;Measured: analytical method used;;;;;FI_EEA_17177
FI.EEA/6929.FACILITY;2017;MONDO MINERALS B.V. Branch Finland, Vuonoksen tehdas;5(d);Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired);OUTOKUMPU;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;7.95;M;Measured: analytical method used;;;;;FI_EEA_6929
FI.EEA/6929.FACILITY;2017;MONDO MINERALS B.V. Branch Finland, Vuonoksen tehdas;5(d);Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired);OUTOKUMPU;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;27.6;M;Measured: analytical method used;;;;;FI_EEA_6929
FI.EEA/293715.FACILITY;2017;Stena Recycling Oy, Nokian jätteenkäsittelyalue;5(c);Installations for the disposal of non-hazardous waste;NOKIA;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;135.0;M;Measured: analytical method used;;;;;FI_EEA_293715
FI.EEA/293715.FACILITY;2017;Stena Recycling Oy, Nokian jätteenkäsittelyalue;5(c);Installations for the disposal of non-hazardous waste;NOKIA;NONHW;Non-hazardous waste;R;Destined for recovery;17200.0;M;Measured: analytical method used;;;;;FI_EEA_293715
FI.EEA/17098.FACILITY;2017;Stena Recycling Oy, Tahkoluodon murskalaitos;5(c);Installations for the disposal of non-hazardous waste;PORI;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;14500.0;M;Measured: analytical method used;;;;;FI_EEA_17098
FI.EEA/17098.FACILITY;2017;Stena Recycling Oy, Tahkoluodon murskalaitos;5(c);Installations for the disposal of non-hazardous waste;PORI;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;21600.0;M;Measured: analytical method used;;;;;FI_EEA_17098
FI.EEA/17098.FACILITY;2017;Stena Recycling Oy, Tahkoluodon murskalaitos;5(c);Installations for the disposal of non-hazardous waste;PORI;NONHW;Non-hazardous waste;R;Destined for recovery;139000.0;M;Measured: analytical method used;;;;;FI_EEA_17098
FI.EEA/17098.FACILITY;2017;Stena Recycling Oy, Tahkoluodon murskalaitos;5(c);Installations for the disposal of non-hazardous waste;PORI;NONHW;Non-hazardous waste;D;Destined for disposal;29.7;M;Measured: analytical method used;;;;;FI_EEA_17098
FI.EEA/239262.FACILITY;2017;STENA RECYCLING OY, Vaasa;5(c);Installations for the disposal of non-hazardous waste;VAASA;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;25.4;M;Measured: analytical method used;;;;;FI_EEA_239262
FI.EEA/239262.FACILITY;2017;STENA RECYCLING OY, Vaasa;5(c);Installations for the disposal of non-hazardous waste;VAASA;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;49.9;M;Measured: analytical method used;;;;;FI_EEA_239262
FI.EEA/239262.FACILITY;2017;STENA RECYCLING OY, Vaasa;5(c);Installations for the disposal of non-hazardous waste;VAASA;NONHW;Non-hazardous waste;R;Destined for recovery;19500.0;M;Measured: analytical method used;;;;;FI_EEA_239262
FI.EEA/293716.FACILITY;2017;Tramel Oy, Nokian toimipiste;5(c);Installations for the disposal of non-hazardous waste;NOKIA;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;90.6;M;Measured: analytical method used;;;;;FI_EEA_293716
FI.EEA/293716.FACILITY;2017;Tramel Oy, Nokian toimipiste;5(c);Installations for the disposal of non-hazardous waste;NOKIA;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;21.4;M;Measured: analytical method used;;;;;FI_EEA_293716
FI.EEA/17247.FACILITY;2017;Huber Packaging Oy;9(c);Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating;HELSINKI;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;D;Destined for disposal;7.59;M;Measured: analytical method used;;;;;FI_EEA_17247
FI.EEA/125280.FACILITY;2017;Gasum Oy, Turun biokaasulaitos;5(c);Installations for the disposal of non-hazardous waste;TURKU;HW;Hazardous waste as defined by Article 2(14) of the E-PRTR;R;Destined for recovery;1.96;M;Measured: analytical method used;;;;;FI_EEA_125280
